edge_id,from_node_id,to_node_id,length_m,speed_limit_mps,num_lanes,priority,road_type,free_flow_travel_time_s,from_junction_degree,to_junction_degree,baseline_sampled_seconds,baseline_traveltime_s,baseline_overlap_traveltime_s,baseline_density_vpm,baseline_lane_density_vpmpl,baseline_occupancy_perc,baseline_waiting_time_s,baseline_time_loss_s,baseline_speed_mps,baseline_speed_relative,baseline_departed_count,baseline_arrived_count,baseline_entered_count,baseline_left_count,is_braess_road
423607658#2,4231760067,4231760088,47.42,13.89,1,3,highway.residential,3.41396688264939,8,8,52.43,3.97,4.37,0.31,0.31,0.14,0,5.35,12,0.86,0,0,12,12,0
423607658#3,4231760088,4231760299,20.7,13.89,1,3,highway.residential,1.4902807775378,8,6,44.12,1.92,2.35,0.59,0.59,0.24,0,9.03,10.95,0.79,1,0,18,19,1
423607658#4,4231760299,4231760306,9.47,13.89,1,3,highway.residential,0.681785457163427,6,6,299.48,15.31,15.76,8.78,8.78,4.27,275,279.5,0.92,0.07,0,0,19,19,1
423607658#5,4231760306,cluster_4231642562_4231760313,12.17,13.89,1,3,highway.residential,0.876169906407487,6,8,822.95,42.22,44,18.78,18.78,8.95,751,791.87,0.39,0.03,0,0,19,19,0
369837717#2,4231760312,cluster_4231642562_4231760313,4.48,13.89,1,3,highway.residential,0.322534197264219,6,8,195,0.48,1.33,12.09,12.09,2.47,47,84.84,7.15,0.51,0,0,147,147,1
369837717#1,cluster_11256808141_2178265374,4231760312,23.54,13.89,1,3,highway.residential,1.69474442044636,8,6,540.87,3.27,3.73,6.38,6.38,2.82,159,239.67,7.64,0.55,1,0,144,145,0
423607525,4231760299,cluster_4231760303_4231760305,56.11,13.89,1,3,highway.residential,4.03959683225342,6,8,68.82,6.16,6.88,0.34,0.34,0.15,0,25.9,8.88,0.64,0,0,10,10,1
423607595#0,4231760306,4231760309,56.52,13.89,1,3,highway.residential,4.06911447084233,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
369837717#7,cluster_3735850699_4231642571,4231642572,4.14,13.89,1,3,highway.residential,0.298056155507559,8,6,103.01,0.34,0.75,6.91,6.91,1.56,0,10.69,12.24,0.88,0,0,138,138,0
369837717#8,4231642572,4231642575,4.36,13.89,1,3,highway.residential,0.313894888408927,6,6,102.78,0.35,0.74,6.55,6.55,1.52,0,7.35,12.57,0.9,0,0,138,138,1
369837717#9,4231642575,4231642582,17.69,13.89,1,3,highway.residential,1.2735781137509,6,6,569.08,3.75,4.15,8.94,8.94,4.04,318,341.64,5.46,0.39,0,0,137,137,0
369837717#10,4231642582,4231642583,12.7,13.89,1,3,highway.residential,0.914326853851692,6,6,253.18,1.39,1.84,5.54,5.54,2.13,36,74.88,9.63,0.69,1,0,137,138,0
369837717#11,4231642583,2432087697,14.61,13.89,1,3,highway.residential,1.05183585313175,6,6,1403.27,7.43,10.02,26.68,26.68,9.99,929,1171.22,1.96,0.14,0,0,140,140,1
423591321#0,4231642583,4231642839,54.28,13.89,1,3,highway.residential,3.90784737221022,6,6,35.6,5.19,5.93,0.18,0.18,0.08,0,6.83,9.99,0.72,0,1,6,5,0
423590993,4231642582,4231642830,50.58,13.89,1,3,highway.residential,3.6414686825054,6,6,8.11,8.15,8.92,0.04,0.04,0.02,0,4.18,6.23,0.45,1,0,0,1,0
423591309#0,4231642575,4231642825,45.61,13.89,1,3,highway.residential,3.28365730741541,6,8,21.85,4.65,5.46,0.13,0.13,0.06,0,4.39,9.27,0.67,0,0,4,4,1
423590990,4231642572,4231642823,43.41,13.89,1,3,highway.residential,3.12526997840173,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423591020,cluster_3735850699_4231642571,4231642819,40.4,13.89,1,3,highway.residential,2.90856731461483,8,6,2021.75,125.15,126.36,13.9,13.9,6.91,1870,1960.46,0.36,0.03,0,1,16,15,1
423590891#0,4231642570,4231642814,36.8,13.89,1,3,highway.residential,2.64938804895608,6,8,6.18,6.39,7.04,0.05,0.05,0.02,0,3.05,5.94,0.43,1,0,0,1,0
423591319#6,4231642585,4231642576,49.89,13.89,1,3,highway.residential,3.59179265658747,8,6,2982.92,141.43,142.66,16.61,16.61,8.24,2562,2892.42,0.38,0.03,0,0,21,21,0
207565747#8,cluster_11256808141_2178265374,4231642576,11.17,13.89,1,3,highway.residential,0.804175665946724,8,6,77.39,1.16,1.61,1.92,1.92,0.66,0,21.95,10.03,0.72,0,1,48,47,0
207565747#7,4233040635,cluster_11256808141_2178265374,10.24,13.89,1,3,highway.residential,0.737221022318215,6,8,334.93,1.33,1.86,9.09,9.09,3.15,63,123.26,8.19,0.59,0,0,180,180,1
1238289072#0,11502906080,cluster_2178265419_4233040634,89.6,13.89,1,3,highway.residential,6.45068394528438,6,8,329.07,7.37,8.23,1.02,1.02,0.47,0,55.49,11.5,0.83,0,0,40,40,0
1238289072#1,11502906080,cluster_11502906079_4231642827,8.95,13.89,1,3,highway.residential,0.64434845212383,6,8,12.89,1.72,2.58,0.4,0.4,0.14,0,6.41,5.41,0.39,0,0,5,5,0
1081308827,9910861622,cluster_2178265419_4233040634,74.44,13.89,1,3,highway.residential,5.35925125989921,6,8,609.38,11.64,12.6,2.27,2.27,1.06,180,330.98,6.31,0.45,0,0,49,48,1
1185440251,4233040598,cluster_4233040591_4233040593,142.21,13.89,1,3,highway.residential,10.2383009359251,6,8,856.44,13.23,14.02,1.67,1.67,0.79,22,207.72,10.5,0.76,0,0,62,61,1
423737581,4233038882,4233038883,81.29,13.89,1,3,highway.residential,5.85241180705544,6,2,186.93,6.58,6.97,0.64,0.64,0.3,0,15.25,12.38,0.89,0,27,27,0,1
423737595,4233038877,4233038876,56.96,13.89,1,3,highway.residential,4.10079193664507,6,2,111.24,5.26,5.66,0.54,0.54,0.25,0,21.74,10.95,0.79,0,20,20,0,0
1185440249,4233040598,4233038877,21.78,13.89,1,3,highway.residential,1.56803455723542,6,6,176.7,2.47,2.99,2.25,2.25,0.9,1,57,8.94,0.64,0,0,59,59,0
423737570#4,4233040611,4233038871,76.58,13.89,1,3,highway.residential,5.51331893448524,6,8,603.35,7.57,8.51,2.19,2.19,1.01,29,176.17,9.59,0.69,1,0,70,71,0
